"nome_pais","year","Country Name","Country Code","Adjusted net national income per capita (constant 2010 US$)","Agricultural land (% of land area)","Agricultural raw materials exports (% of merchandise exports)","Agricultural raw materials imports (% of merchandise imports)","Agriculture, forestry, and fishing, value added (annual % growth)","Cereal production (metric tons)","Crop production index (2004-2006 = 100)","Fertilizer consumption (% of fertilizer production)","Food exports (% of merchandise exports)","Food imports (% of merchandise imports)","Food production index (2004-2006 = 100)","NA","Area","Year","Gross per capita Production Index Number (2004-2006 = 100)_Agriculture (PIN)","Gross per capita Production Index Number (2004-2006 = 100)_Cereals,Total","Gross per capita Production Index Number (2004-2006 = 100)_Crops (PIN)","Gross per capita Production Index Number (2004-2006 = 100)_Food (PIN)","Gross per capita Production Index Number (2004-2006 = 100)_Livestock (PIN)","Gross per capita Production Index Number (2004-2006 = 100)_Non Food (PIN)","Gross Production Index Number (2004-2006 = 100)_Agriculture (PIN)","Gross Production Index Number (2004-2006 = 100)_Cereals,Total","Gross Production Index Number (2004-2006 = 100)_Crops (PIN)","Gross Production Index Number (2004-2006 = 100)_Food (PIN)","Gross Production Index Number (2004-2006 = 100)_Livestock (PIN)","Gross Production Index Number (2004-2006 = 100)_Non Food (PIN)","Net per capita Production Index Number (2004-2006 = 100)_Agriculture (PIN)","Net per capita Production Index Number (2004-2006 = 100)_Cereals,Total","Net per capita Production Index Number (2004-2006 = 100)_Crops (PIN)","Net per capita Production Index Number (2004-2006 = 100)_Food (PIN)","Net per capita Production Index Number (2004-2006 = 100)_Livestock (PIN)","Net per capita Production Index Number (2004-2006 = 100)_Non Food (PIN)","Net Production Index Number (2004-2006 = 100)_Agriculture (PIN)","Net Production Index Number (2004-2006 = 100)_Cereals,Total","Net Production Index Number (2004-2006 = 100)_Crops (PIN)","Net Production Index Number (2004-2006 = 100)_Food (PIN)","Net Production Index Number (2004-2006 = 100)_Livestock (PIN)","Net Production Index Number (2004-2006 = 100)_Non Food (PIN)","GeoAreaCode","GeoAreaName","undernourishment"
"argentina","2000","Argentina","ARG",6533.387413001,46.9581867146078,1.73287045079909,1.48441965569226,-1.76587673522218,38086960,81.29,NA,43.7785097262502,5.00967435530705,85.91,NA,"Argentina",2000,91.02,111.02,86.03,90.95,99.33,94.72,86.14,105.13,81.42,86.07,94,89.65,90.85,110.81,85.9,90.77,99.3,94.72,85.98,104.93,81.29,85.91,93.98,89.66,"32","Argentina",3.5
"argentina","2001","Argentina","ARG",6139.78308361705,46.9932655872605,1.61817759344408,1.50856167368056,1.49112622436698,36632775,86.78,NA,44.3929420324418,5.72009530093046,87.07,NA,"Argentina",2001,90.99,105.98,90.8,90.93,91.29,93.86,87.07,101.48,86.89,87.02,87.37,89.83,91.04,105.51,90.69,90.98,91.25,93.87,87.12,101.03,86.78,87.07,87.33,89.84,"32","Argentina",4.1
"argentina","2002","Argentina","ARG",5279.05957777144,47.031267699301,1.55706167232191,2.40306191213103,-2.65050666356152,34872639,88.18,160.851250716059,45.8776636154603,4.62907337828903,86.56,NA,"Argentina",2002,89.17,99.56,91.19,89.33,85.81,81.09,86.28,96.39,88.23,86.43,83.03,78.47,89.29,99.25,91.13,89.45,85.8,81.1,86.4,96.1,88.18,86.56,83.03,78.49,"32","Argentina",4.9
"argentina","2003","Argentina","ARG",5827.04784789666,47.8254753004542,1.52238599886509,2.48484254461902,6.7704180376591,32275169,92.2,197.584494939851,49.205061480024,4.19577336950639,90.49,NA,"Argentina",2003,91.95,90.61,94.31,92.2,88.03,78.77,89.96,88.7,92.26,90.21,86.13,77.07,92.22,90.31,94.25,92.49,88.03,78.77,90.23,88.41,92.2,90.49,86.12,77.07,"32","Argentina",5.3
"argentina","2004","Argentina","ARG",5721.71551392779,49.0903244430315,1.63590273824728,1.78913526091806,0.38332477044824,34452438,90.66,222.144902046064,47.9587453839443,3.30014291035862,92.2,NA,"Argentina",2004,92.87,96.64,91.79,92.84,94.66,94.64,91.85,95.64,90.78,91.82,93.63,93.62,93.25,96.39,91.67,93.22,94.68,94.64,92.23,95.39,90.66,92.2,93.64,93.62,"32","Argentina",5.2
"argentina","2005","Argentina","ARG",6106.28791653099,50.3518849412977,1.3671103161538,1.50271783587216,18.7884794494551,41579427,106.07,208.362549391813,46.6190372949691,2.83684117911675,104.41,NA,"Argentina",2005,104.64,114.52,105.97,104.62,102.42,105.37,104.6,114.56,105.93,104.59,102.39,105.35,104.46,115.04,106.11,104.44,102.42,105.37,104.43,115.08,106.07,104.41,102.39,105.35,"32","Argentina",4.7
"argentina","2006","Argentina","ARG",7330.13516331876,51.5600963207378,1.28834451919028,1.47588503338923,-0.525550810177677,32263201,103.26,218.98272683826,45.1192836061441,2.58219115951538,103.39,NA,"Argentina",2006,102.49,88.84,102.24,102.54,102.92,99.98,103.54,89.81,103.28,103.59,103.98,101.02,102.3,88.57,102.22,102.34,102.9,99.99,103.35,89.53,103.26,103.39,103.96,101.03,"32","Argentina",4.4
"argentina","2007","Argentina","ARG",8133.56926606045,52.6303673415696,1.25066448710994,1.23823502325182,8.53758292824993,42356370,117.67,382.688116552721,50.905175186231,3.69844769037952,113.93,NA,"Argentina",2007,111.48,113.54,115.12,111.69,105.4,100.16,113.79,115.97,117.51,114.01,107.6,102.26,111.39,113.73,115.28,111.61,105.38,100.19,113.7,116.16,117.67,113.93,107.57,102.28,"32","Argentina",4.2
"argentina","2008","Argentina","ARG",8546.56997650082,52.7136796641198,0.98465824161082,1.05811827489685,-2.18582133728724,44731736,119.16,305.880309793373,53.1159948716898,4.53898595690234,115.12,NA,"Argentina",2008,111.33,119.29,115.36,111.59,104.6,97.53,114.81,123.1,118.97,115.08,107.88,100.59,111.36,120.11,115.55,111.63,104.56,97.54,114.84,123.94,119.16,115.12,107.84,100.61,"32","Argentina",4.1
"argentina","2009","Argentina","ARG",7925.65188423398,52.5423047550143,1.08175096075618,1.16345565367815,-26.1014564806975,26029790,84.6,153.278635922547,50.4894142220625,3.76938931270202,96.74,NA,"Argentina",2009,91.99,69.67,81.56,92.01,109.38,90.75,95.85,72.64,84.97,95.87,113.97,94.56,92.8,69.51,81.2,92.84,109.34,90.74,96.69,72.47,84.6,96.74,113.93,94.56,"32","Argentina",4.1
