nome_pais,year,Country Name,Country Code,Adjusted net national income per capita (constant 2010 US$),Agricultural land (% of land area),Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials imports (% of merchandise imports),"Agriculture, forestry, and fishing, value added (annual % growth)",Cereal production (metric tons),Crop production index (2004-2006 = 100),Fertilizer consumption (% of fertilizer production),Food exports (% of merchandise exports),Food imports (% of merchandise imports),Food production index (2004-2006 = 100),"NA",Area,Year,Gross per capita Production Index Number (2004-2006 = 100)_Agriculture (PIN),"Gross per capita Production Index Number (2004-2006 = 100)_Cereals,Total",Gross per capita Production Index Number (2004-2006 = 100)_Crops (PIN),Gross per capita Production Index Number (2004-2006 = 100)_Food (PIN),Gross per capita Production Index Number (2004-2006 = 100)_Livestock (PIN),Gross per capita Production Index Number (2004-2006 = 100)_Non Food (PIN),Gross Production Index Number (2004-2006 = 100)_Agriculture (PIN),"Gross Production Index Number (2004-2006 = 100)_Cereals,Total",Gross Production Index Number (2004-2006 = 100)_Crops (PIN),Gross Production Index Number (2004-2006 = 100)_Food (PIN),Gross Production Index Number (2004-2006 = 100)_Livestock (PIN),Gross Production Index Number (2004-2006 = 100)_Non Food (PIN),Net per capita Production Index Number (2004-2006 = 100)_Agriculture (PIN),"Net per capita Production Index Number (2004-2006 = 100)_Cereals,Total",Net per capita Production Index Number (2004-2006 = 100)_Crops (PIN),Net per capita Production Index Number (2004-2006 = 100)_Food (PIN),Net per capita Production Index Number (2004-2006 = 100)_Livestock (PIN),Net per capita Production Index Number (2004-2006 = 100)_Non Food (PIN),Net Production Index Number (2004-2006 = 100)_Agriculture (PIN),"Net Production Index Number (2004-2006 = 100)_Cereals,Total",Net Production Index Number (2004-2006 = 100)_Crops (PIN),Net Production Index Number (2004-2006 = 100)_Food (PIN),Net Production Index Number (2004-2006 = 100)_Livestock (PIN),Net Production Index Number (2004-2006 = 100)_Non Food (PIN),GeoAreaCode,GeoAreaName,undernourishment
argentina,2000,Argentina,ARG,6533.387413001003,46.95818671460779,1.73287045079909,1.4844196556922558,-1.7658767352221787,38086960,81.29,NA,43.77850972625016,5.009674355307047,85.91,NA,Argentina,2000,91.02,111.02,86.03,90.95,99.33,94.72,86.14,105.13,81.42,86.07,94,89.65,90.85,110.81,85.9,90.77,99.3,94.72,85.98,104.93,81.29,85.91,93.98,89.66,32,Argentina,3.5
argentina,2001,Argentina,ARG,6139.783083617045,46.993265587260524,1.6181775934440799,1.5085616736805594,1.4911262243669796,36632775,86.78,NA,44.392942032441795,5.720095300930458,87.07,NA,Argentina,2001,90.99,105.98,90.8,90.93,91.29,93.86,87.07,101.48,86.89,87.02,87.37,89.83,91.04,105.51,90.69,90.98,91.25,93.87,87.12,101.03,86.78,87.07,87.33,89.84,32,Argentina,4.1
argentina,2002,Argentina,ARG,5279.05957777144,47.03126769930098,1.5570616723219088,2.4030619121310317,-2.650506663561515,34872639,88.18,160.85125071605881,45.87766361546032,4.629073378289032,86.56,NA,Argentina,2002,89.17,99.56,91.19,89.33,85.81,81.09,86.28,96.39,88.23,86.43,83.03,78.47,89.29,99.25,91.13,89.45,85.8,81.1,86.4,96.1,88.18,86.56,83.03,78.49,32,Argentina,4.9
argentina,2003,Argentina,ARG,5827.047847896656,47.8254753004542,1.5223859988650918,2.48484254461902,6.770418037659098,32275169,92.2,197.58449493985106,49.20506148002397,4.195773369506392,90.49,NA,Argentina,2003,91.95,90.61,94.31,92.2,88.03,78.77,89.96,88.7,92.26,90.21,86.13,77.07,92.22,90.31,94.25,92.49,88.03,78.77,90.23,88.41,92.2,90.49,86.12,77.07,32,Argentina,5.3
argentina,2004,Argentina,ARG,5721.715513927789,49.09032444303155,1.6359027382472844,1.7891352609180617,0.3833247704482403,34452438,90.66,222.14490204606392,47.95874538394432,3.3001429103586215,92.2,NA,Argentina,2004,92.87,96.64,91.79,92.84,94.66,94.64,91.85,95.64,90.78,91.82,93.63,93.62,93.25,96.39,91.67,93.22,94.68,94.64,92.23,95.39,90.66,92.2,93.64,93.62,32,Argentina,5.2
argentina,2005,Argentina,ARG,6106.287916530991,50.3518849412977,1.367110316153802,1.5027178358721625,18.78847944945514,41579427,106.07,208.362549391813,46.619037294969075,2.836841179116749,104.41,NA,Argentina,2005,104.64,114.52,105.97,104.62,102.42,105.37,104.6,114.56,105.93,104.59,102.39,105.35,104.46,115.04,106.11,104.44,102.42,105.37,104.43,115.08,106.07,104.41,102.39,105.35,32,Argentina,4.7
argentina,2006,Argentina,ARG,7330.135163318755,51.56009632073783,1.2883445191902803,1.4758850333892275,-0.5255508101776769,32263201,103.26,218.9827268382604,45.11928360614409,2.582191159515376,103.39,NA,Argentina,2006,102.49,88.84,102.24,102.54,102.92,99.98,103.54,89.81,103.28,103.59,103.98,101.02,102.3,88.57,102.22,102.34,102.9,99.99,103.35,89.53,103.26,103.39,103.96,101.03,32,Argentina,4.4
argentina,2007,Argentina,ARG,8133.5692660604545,52.63036734156956,1.2506644871099446,1.2382350232518218,8.537582928249932,42356370,117.67,382.6881165527213,50.905175186230956,3.69844769037952,113.93,NA,Argentina,2007,111.48,113.54,115.12,111.69,105.4,100.16,113.79,115.97,117.51,114.01,107.6,102.26,111.39,113.73,115.28,111.61,105.38,100.19,113.7,116.16,117.67,113.93,107.57,102.28,32,Argentina,4.2
argentina,2008,Argentina,ARG,8546.569976500816,52.713679664119795,0.9846582416108196,1.0581182748968527,-2.185821337287237,44731736,119.16,305.88030979337253,53.115994871689786,4.538985956902339,115.12,NA,Argentina,2008,111.33,119.29,115.36,111.59,104.6,97.53,114.81,123.1,118.97,115.08,107.88,100.59,111.36,120.11,115.55,111.63,104.56,97.54,114.84,123.94,119.16,115.12,107.84,100.61,32,Argentina,4.1
argentina,2009,Argentina,ARG,7925.651884233976,52.54230475501427,1.081750960756184,1.1634556536781535,-26.10145648069752,26029790,84.6,153.2786359225472,50.48941422206248,3.769389312702017,96.74,NA,Argentina,2009,91.99,69.67,81.56,92.01,109.38,90.75,95.85,72.64,84.97,95.87,113.97,94.56,92.8,69.51,81.2,92.84,109.34,90.74,96.69,72.47,84.6,96.74,113.93,94.56,32,Argentina,4.1
